Code,Name,Country,Exchange,Currency,Type,Isin
AAA-P,"First Tidal Acquisition Corp.",Canada,V,CAD,"Common Stock",
AAAJ-P,"AAJ Capital 3 Corp.",Canada,V,CAD,"Common Stock",
AAG,"Aftermath Silver Ltd",Canada,V,CAD,"Common Stock",CA00831V2057
AAN,"Aton Resources Inc",Canada,V,CAD,"Common Stock",CA0496AP2026
AAZ,"Azincourt Uranium Inc",Canada,V,CAD,"Common Stock",CA05478T2074
AB-H,"Asbestos Corporation Limited",Canada,V,CAD,"Common Stock",
ABA,"Abasca Resources Inc.",Canada,V,CAD,"Common Stock",
ABI,"Abcourt Mines Inc.",Canada,V,CAD,"Common Stock",CA00288E3005
ABM,"Athabasca Minerals Inc",Canada,V,CAD,"Common Stock",
ABR,"Arbor Metals Corp",Canada,V,CAD,"Common Stock",CA03880B1040
ABZ,"Asiabasemetals Inc",Canada,V,CAD,"Common Stock",CA04521E5074
ACAP-P,"Atlas One Capital Corporation",Canada,V,CAD,"Common Stock",
ACDC,"AC/DC Battery Metals Inc.",Canada,V,CAD,"Common Stock",
ACS,"Archon Minerals Ltd",Canada,V,CAD,"Common Stock",CA03958A1030
ACU,"Aurora Solar Technologies Inc",Canada,V,CAD,"Common Stock",CA05207J1084
ADAD-P,"Adagio 2 Capital Inc.",Canada,V,CAD,"Common Stock",
ADD,"Arctic Star Exploration Corp",Canada,V,CAD,"Common Stock",CA03967T3091
ADE,"Adex Mining Inc",Canada,V,CAD,"Common Stock",CA0069032070
ADJ-P,"AD4 Capital Corp.",Canada,V,CAD,"Common Stock",
ADK,"Diagnos Inc",Canada,V,CAD,"Common Stock",CA2524423068
ADY,"Adyton Resources Corp",Canada,V,CAD,"Common Stock",CA00784W1014
ADYA,"Adya Inc",Canada,V,CAD,"Common Stock",CA00783P2061
ADZ,"Adamera Minerals Corp.",Canada,V,CAD,"Common Stock",CA00547Y1051
AE,"American Eagle Gold Corp",Canada,V,CAD,"Common Stock",CA02553R1073
AEC,"Anfield Resources Inc",Canada,V,CAD,"Common Stock",CA03464C1068
AEF,"AE Fuels Corporation",Canada,V,CAD,"Common Stock",
AEMC,"Alaska Energy Metals Corporation",Canada,V,CAD,"Common Stock",
AEP,"Atlas Engineered Products Ltd",Canada,V,CAD,"Common Stock",CA0493041085
AERO,"Aero Energy Limited",Canada,V,CAD,"Common Stock",
AF-P,"AF2 Capital Corp",Canada,V,CAD,"Common Stock",
AFCC-H,"Automotive Finco Corp",Canada,V,CAD,"Common Stock",
AFE,"Africa Energy Corp",Canada,V,CAD,"Common Stock",CA00830W1059
AFM,"Alphamin Res",Canada,V,CAD,"Common Stock",MU0456S00006
AFR,"African Metals Corporation",Canada,V,CAD,"Common Stock",
AFV-P,"Apolo V Acquisition Corp.",Canada,V,CAD,"Common Stock",
AGA,"Argonaut Exploration Inc.",Canada,V,CAD,"Common Stock",
AGAG,"Argenta Silver Corp.",Canada,V,CAD,"Common Stock",
AGET,"AGEDB Technology Ltd.",Canada,V,CAD,"Common Stock",
